ID,Random#,Case,Account,Date,Date,Date,Time,retweets,likes,Picutre,Code #,content,unk,directed,hashtag,geocode,source,,,,
,,,,,,,,,,,,pic.twitter.com/jfdksfoned
,0.7364327722,61829,windergal,,9/10/17,9/10/2017 0:00,2:48:00 PM,0,0,,,@KatyTurNBC @BuschGardens Adorable - I hope they all survive. Sometimes just the stress can be harmful to any animal.,,@KatyTurNBC @BuschGardens,,9.07E+17,https://twitter.com/windergal/status/906952459712577537,,,,
,0.2647656042,54615,StephanieWPTV,,9/8/17,9/8/2017 0:00,11:03:00 AM,0,1,,,@SenBillNelson says spill over NOT likely at Lake O. Integrity of the dike not threatened. Can handle another 3 feet of water @WPTV pic.twitter.com/rQof7sH7HA,,@SenBillNelson @WPTV,,9.06E+17,https://twitter.com/StephanieWPTV/status/906171209217388544,,,,
,0.9370991001,46653,PeggyAdamsARL,,9/29/17,9/29/2017 0:00,12:56:00 PM,7,10,,,The largest rescue animal adoption event is almost here! Save the date: October 14! #C2Z @CBS12 @WPTV @FOX29WFLX @WPBF25News pic.twitter.com/oHLQSseEtf,,@CBS12 @WPTV @FOX29WFLX @WPBF25News,#C2Z,9.14E+17,https://twitter.com/PeggyAdamsARL/status/913809681348481027,,,,
,0.2517806883,38044,marieaurelus67,,9/14/17,9/14/2017 0:00,10:28:00 AM,0,1,,,@marieaurelus67 @WPLGLocal10 Greetings and Happy Thursday To Everyone!,,@marieaurelus67 @WPLGLocal10,,9.08E+17,https://twitter.com/marieaurelus67/status/908336547338092544,,,,
,0.6547136626,29816,JEV7800,,9/12/17,9/12/2017 0:00,3:15:00 PM,1,0,,,This is nothing but awesome!!!! #JetBlue,,,#JetBlue,9.08E+17,https://twitter.com/JEV7800/status/907684149837869057,,,,
,0.3584271377,00822,10NewsWTSP,,9/22/17,9/22/2017 0:00,8:05:00 AM,1,2,,,"Semi carrying pumpkins crashes, closes I-75 South in Pasco Co. http:// on.wtsp.com/2xzNfEH pic.twitter.com/o52G0dZWgj",,,,9.11E+17,https://twitter.com/10NewsWTSP/status/911199687360860162,,,,
,0.8998928833,28746,JasonBXNY0619,,9/4/17,9/4/2017 0:00,11:53:00 PM,0,0,,,@weartv @WMBBTV @LOCAL15NEWS @WJHG_TV @WECPTV @WKRG @FOX10News 19 years ago #hurricanegeorges passed though PR & i was there,,@weartv @WMBBTV @LOCAL15NEWS @WJHG_TV @WECPTV @WKRG @FOX10News,#hurricanegeorges,9.05E+17,https://twitter.com/JasonBXNY0619/status/904915331143135232,,,,
,0.9485623098,12791,CBS12,,9/6/17,9/6/2017 0:00,9:35:00 AM,3,6,,,Woman documents flooding at her home in Guadeloupe. #HurricaneIrma http:// bit.ly/2wG4MIZ pic.twitter.com/Jy2vFGE6Yh,,,#HurricaneIrma,9.05E+17,https://twitter.com/CBS12/status/905424137690238976,,,,
,0.899638457,25401,GTR005,,9/9/17,9/9/2017 0:00,8:00:00 AM,0,0,,,@WPLGLocal10 120St and 157 Ave pic.twitter.com/6tV0WWOSTl,,@WPLGLocal10,,9.06E+17,https://twitter.com/GTR005/status/906487545701306368,,,,
,0.8784002615,44124,news6wkmg,,9/9/17,9/9/2017 0:00,7:16:00 PM,15,9,,,Seminole County curfew begins Sunday at 7 p.m. until Monday at 6 p.m. http:// bit.ly/2xTIEdz pic.twitter.com/azvMdL89os,,,,9.07E+17,https://twitter.com/news6wkmg/status/906657650443726848,,,,
,0.2939074741,27243,igstorres,,9/22/17,9/22/2017 0:00,10:27:00 PM,0,0,,,stay safe,,,,9.11E+17,https://twitter.com/igstorres/status/911416727438790656,,,,
,0.6218154413,01180,10NewsWTSP,,9/16/17,9/16/2017 0:00,8:55:00 AM,6,5,,,Duke Energy is asking people still without power to report it http:// on.wtsp.com/2jlRa2z #irmaaftermath pic.twitter.com/xhwgr8s43u,,,#irmaaftermath,9.09E+17,https://twitter.com/10NewsWTSP/status/909038126168969216,,,,
,0.7618766055,57710,TimmyNeely,,9/12/17,9/12/2017 0:00,1:07:00 PM,0,1,,,"Power companies, cities, counties and the state profit billions of $$/year from electricity. get some engineers to hurricane proof the grid?",,,,9.08E+17,https://twitter.com/TimmyNeely/status/907651907992346624,,,,
,0.240692172,27467,imKarenar,,9/13/17,9/13/2017 0:00,4:22:00 PM,0,2,,,There was 1 down at Griffin & Sw 39th St FLL. Ya sure it didn't come from here??? It's missing-,,,,9.08E+17,https://twitter.com/imKarenar/status/908063279569915909,,,,
,0.32280122,19880,ERCWalker,,9/10/17,9/10/2017 0:00,4:55:00 PM,0,0,,,@wptv @SteveWeagleWPTV any word on lake O levels? Slosh?,,@wptv @SteveWeagleWPTV,,9.07E+17,https://twitter.com/ERCWalker/status/906984495802396672,,,,
,0.191073556,43265,NelsonBarilla15,,9/26/17,9/26/2017 0:00,3:36:00 PM,0,0,,,#NowStillWatching @TheEllenShow @DrPhil @TMZLive @TMZ @wsvn @netflix @hulu @FamilyFeud @ModernFam @TheSimpsons,,@TheEllenShow @DrPhil @TMZLive @TMZ @wsvn @netflix @hulu @FamilyFeud @ModernFam @TheSimpsons,#NowStillWatching,9.13E+17,https://twitter.com/NelsonBarilla15/status/912762906110021633,,,,
,0.0083839651,30603,JoannaCocoGrove,,9/17/17,9/17/2017 0:00,12:15:00 PM,0,3,,,Good work Miami-Dade School system; much better than billion dollar corporation AT&T that can't restore pricey U-Verse service,,,,9.09E+17,https://twitter.com/JoannaCocoGrove/status/909450870487732225,,,,
,0.8153213984,13690,chris2pherJones,,9/16/17,9/16/2017 0:00,5:15:00 PM,0,1,,,Tying one's animal to potentially die is NEVER an option no matter what.,,,,9.09E+17,https://twitter.com/chris2pherJones/status/909163925660405760,,,,
,0.1986767584,38011,marieaurelus67,,9/18/17,9/18/2017 0:00,5:33:00 PM,0,0,,,@marieaurelus67 Happy Day#these team that I met a little earlier is extremely nice#They were very helpful#warm welcomed today @WPLGLocal10 pic.twitter.com/PKiBz4oWzA,,@marieaurelus67 @WPLGLocal10,#these #They #warm,9.10E+17,https://twitter.com/marieaurelus67/status/909893207303053313,,,,
,0.1332401044,28385,jakesrw1,,9/15/17,9/15/2017 0:00,6:43:00 PM,0,0,,,Really?,,,,9.09E+17,https://twitter.com/jakesrw1/status/908823692611870720,,,,
,0.9688003867,26782,How_bout_hellno,,9/17/17,9/17/2017 0:00,12:03:00 AM,0,0,,,wtf pic.twitter.com/b2sUSzEgp2,,,,9.09E+17,https://twitter.com/How_bout_hellno/status/909266521356107776,,,,
,0.2740208893,38340,markldubin,,9/11/17,9/11/2017 0:00,2:04:00 PM,0,0,,,Libertard snowflake? Did u know that Slashs folks came here illegally from S America? Did u know Duff McKagens an outspoken Libertard?,,,,9.07E+17,https://twitter.com/markldubin/status/907303838662774786,,,,
,0.9309138775,47970,PublixHelps,,9/6/17,9/6/2017 0:00,9:25:00 AM,0,0,,,Hi Gary. I can assure we are working around the clock to keep stores stocked with essential products and will continue to do so. ^MB,,,,9.05E+17,https://twitter.com/PublixHelps/status/905421760836898817,,,,
,0.1806049015,06750,assipassi,,9/11/17,9/11/2017 0:00,12:58:00 AM,0,0,,,"There is your light rain"" you piece of shit @AnnCoulter""",,@AnnCoulter,,9.07E+17,https://twitter.com/assipassi/status/907106142022623232,,,,
,0.354322528,67615,ZeldMac,,9/7/17,9/7/2017 0:00,5:40:00 PM,0,1,,,What would a good plan even be?,,,,9.06E+17,https://twitter.com/ZeldMac/status/905908558079942657,,,,
,0.9381511508,40632,mila_bowen,,9/27/17,9/27/2017 0:00,5:56:00 AM,0,1,,,And Tillman's wife says stay on your knee!,,,,9.13E+17,https://twitter.com/mila_bowen/status/912979316211945473,,,,
,0.4002445222,54525,StephanieWPTV,,9/10/17,9/10/2017 0:00,11:24:00 AM,0,0,,,"@pbcsd CLOSED Monday and Tuesday! Everyone please stay safe, don't leave home right now. @WPTV #hurricaneIrma",,@pbcsd @WPTV,#hurricaneIrma,9.07E+17,https://twitter.com/StephanieWPTV/status/906901090972696576,,,,
,0.0774283501,53708,snookman34224,,9/8/17,9/8/2017 0:00,11:52:00 AM,0,1,,,its goin to.move more west then anyone is saying,,,,9.06E+17,https://twitter.com/snookman34224/status/906183415086686208,,,,
,0.8732209634,42903,nascarjaniy,,9/21/17,9/21/2017 0:00,11:42:00 PM,0,0,,,Where do we send it too ?,,,,9.11E+17,https://twitter.com/nascarjaniy/status/911073078481956865,,,,
,0.9225698854,20938,evynichita,,9/2/17,9/2/2017 0:00,8:44:00 AM,0,0,,,pic.twitter.com/6fhccSVWPU,,,,9.04E+17,https://twitter.com/evynichita/status/903961785782423552,,,,
,0.2450601001,27431,imalexmiranda,,9/9/17,9/9/2017 0:00,6:23:00 PM,1,3,,,WATCH NOW: @FLGovScott speaking right now on @10NewsWTSP .,,@FLGovScott @10NewsWTSP,,9.07E+17,https://twitter.com/imalexmiranda/status/906644182311297025,,,,
,0.7151238864,08958,bossb1000,,9/28/17,9/28/2017 0:00,2:31:00 PM,0,0,,,"Great actress, I pray sheâ€™ll recover from this horrid illness",,,,9.13E+17,https://twitter.com/bossb1000/status/913471206627606529,,,,
,0.6305935415,53277,simply2b,,9/10/17,9/10/2017 0:00,1:30:00 PM,0,0,,,Aww.,,,,9.07E+17,https://twitter.com/simply2b/status/906932825575878656,,,,
,0.4210854133,35256,LHaw69,,9/9/17,9/9/2017 0:00,12:35:00 AM,0,0,,,@MayorGimenez @FLGovScott @RepCurbelo @wplg @wsvn @GMA #Miami #SlumLord #IrmaHurricane2017 Landlord only shuttered the first floor. pic.twitter.com/QJjVbTxZXE,,@MayorGimenez @FLGovScott @RepCurbelo @wplg @wsvn @GMA,#Miami #SlumLord #IrmaHurricane2017,9.06E+17,https://twitter.com/LHaw69/status/906375388435279872,,,,
,0.985004691,17140,debbiebechtel,,9/7/17,9/7/2017 0:00,5:15:00 PM,0,1,,,Doing a fantastic job!,,,,9.06E+17,https://twitter.com/debbiebechtel/status/905902246889750529,,,,
,0.7988081949,61285,weatherlindsay,,9/3/17,9/3/2017 0:00,7:48:00 AM,3,13,,,"ICYMI here's Vince, the @FOX13News Pet of the Week. He's a growing 2 month old Rottweiler mix. So cute! He's at @HumaneTampaBay at 10 AM pic.twitter.com/Mvv33m50Bm",,@FOX13News @HumaneTampaBay,,9.04E+17,https://twitter.com/weatherlindsay/status/904310026168348674,,,,
,0.0811529054,65347,wsvn,,9/30/17,9/30/2017 0:00,2:25:00 PM,7,0,,,Ex-head of Florida program convicted of soliciting teen sex http:// wsvn.com/news/local/ex- head-of-florida-program-convicted-of-soliciting-teen-sex/ â€¦,,,,9.14E+17,https://twitter.com/wsvn/status/914194384576499714,,,,
