Topic,Tweets,Date,Number,Permalink
storm hit just fpl tropical cat days lost went did
,My father is on oxygen and can't even get ahold of your company. He filed the medical necessity forms before the storm. We just need answer,2017-09-12,1,https://twitter.com/Tora0007/status/907708432765120513
,"PLEASE, tell us what you are goin to do differently for the next storm. How about u remember the order of restoration and do it opposite",2017-09-15,1,https://twitter.com/TerranceX1/status/908805862650781697
,He showed up the day of the storm hitting with the Duke truck and a bunch of plywood to board up his windows,2017-09-12,1,https://twitter.com/bladesout2011/status/907715773136871439
,They were out here working to put it back on during the storm. Actually crazy.,2017-09-11,1,https://twitter.com/Geosfear/status/907375576213852162
, I signed up for alerts before the storm struct FL. The first alert I received was 4 days later telling me to avoid power lines,2017-09-12,1,https://twitter.com/DavidNadas/status/907703288648359936
, my love weathered the storm like a champ,2017-09-11,1,https://twitter.com/sleepinggas/status/907308224491159552
, 80% of people that lost power experienced t storm force winds disgraceful,2017-09-13,1,https://twitter.com/wideslapper/status/907958046747512834
,"More than 21,000 have descended on Florida in the largest storm deployment in U.S. history, according to   goo.gl/tXsrgG",2017-09-14,1,https://twitter.com/SNNTV/status/908405001927630849
,First timer? The new Storm Center Brevard Hurricane Guide can help you get prepare for the next storm!  bit.ly/2xCGwdm  ,2017-09-27,1,https://twitter.com/1071A1A/status/913085073842257920
, now without power for 24 hours in Clearwater where the storm was minor.,2017-09-11,1,https://twitter.com/OIFGENERATION/status/907405005795332096
,So how long would it take  to restore power once the storm passes?,2017-09-10,1,https://twitter.com/xxtonia_14/status/906907544899211266
,i know the facts of the storm. get more help. 2000. they are finishing up in miami. this is not a criticism.,2017-09-17,1,https://twitter.com/harmonmarkets/status/909377059356643331
, where are you in Oviedo????! Have not seen any trucks working since just after the storm.,2017-09-18,1,https://twitter.com/Priscilla5791/status/909767458470481921
,So your an expert on storm repair work?,2017-09-14,1,https://twitter.com/newburnb/status/908447548460875776
,Don't let a storm catch you off guard. Keep the new Storm Center Brevard Hurricane Guide handy!  bit.ly/2wfixxr  ,2017-09-28,1,https://twitter.com/NASHFM1027WHKR/status/913572788455092225
,"""Crews will likely have to REBUILD the system due to the intensity of the storm",2017-09-08,1,9.06192911557026E+017
,Nope. Things I lost in the storm.,2017-09-14,1,https://twitter.com/djnikostar/status/908501573956927489
, so why the hipe about the trucks before the storm SMH,2017-09-13,1,https://twitter.com/diannebaez/status/907853347436277760
,"Lauren, I'm very worried for our older folk. The heat after a storm is always bad but the last few days it will.take your breath.",2017-09-16,1,https://twitter.com/RageKeepsMeWarm/status/908923713680265217
,"I disagree. Fpl rep. & mayor of FtLauderdale at press conference before storm said hospitals, homes & then businesses.",2017-09-13,1,https://twitter.com/Sweetpeaflo/status/908152725602521089
,Maybe this storm will magically fix the power!,2017-09-14,1,https://twitter.com/potterhockey/status/908471513241866241
,we lost power before the storm even hit and it looks like we'll be the last ones to get it!!! Beyond frustrating!,2017-09-17,1,https://twitter.com/22Marlenne/status/909581886686662656
,Are you shitting me? Shouldn't you guys have an inventory before the storm?,2017-09-11,1,https://twitter.com/Gregory_Eads/status/907378961306570752
