username|date|retweets|favorites|text|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
NBCNews|2017-09-10 09:48:09|1860|2307|'WATCH: A storm chaser battles Hurricane  Irma ''s powerful winds.  pic.twitter.com/X5T16VcIup'|false|906876954892226561|/NBCNews/status/906876954892226561||||
NBCNews|2017-09-09 15:50:13|467|560|'WATCH: Strong waves hit Key West ahead of Hurricane  Irma ''s landfall (via U.S. Navy)  pic.twitter.com/AMrdVUwV1Q'|false|906605683394662406|/NBCNews/status/906605683394662406||||
NBCNews|2017-09-11 11:34:08|337|798|LATEST: Fort Lauderdale police say 19 people have been arrested for "burglarizing businesses & residences" during Hurricane  Irma   pic.twitter.com/Pds4JaDaBG|false|907266014408318977|/NBCNews/status/907266014408318977||||
NBCNews|2017-09-05 16:21:02|159|116|NEW: All commercial flights at Key West International Airport "will be canceled from Thursday morning until further notice" ahead of  Irma   pic.twitter.com/7UGIm665kT|false|905163885791109121|/NBCNews/status/905163885791109121||||
NBCNews|2017-09-10 22:01:54|1457|1532|LATEST: Florida Power & Light Company says 3,212,830 of its 4,904,060 customers (65.5%) are without power due to Hurricane  Irma   pic.twitter.com/Rljf2bJ3VE|false|907061607397826562|/NBCNews/status/907061607397826562||||
NBCNews|2017-09-07 19:00:23|81|77|Haiti, still recovering from a 2016 hurricane, braces for Category 5 Hurricane  Irma   http://nbcnews.to/2xQsIZq   pic.twitter.com/6TWrsctOpR|false|905928763065683968|/NBCNews/status/905928763065683968||||
NBCNews|2017-09-10 13:38:39|80|138|'VP Pence at FEMA tells people in  Irma ''s path to listen to officials: “We can rebuild cities…we cannot rebuild lives”  http://snpy.tv/2jhq3pw  '|false|906934962477178881|/NBCNews/status/906934962477178881||||
NBCNews|2017-09-12 15:00:12|34|136|Florida bar that acted as a makeshift shelter for regulars survives Hurricane  Irma   http://nbcnews.to/2gZL872   pic.twitter.com/KwQCr8zjaM|false|907680259184701440|/NBCNews/status/907680259184701440||||
NBCNews|2017-09-11 14:59:05|69|84|Why did  Irma  drain shorelines? Behind the "once in a lifetime tidal event"  http://nbcnews.to/2xgvNVO   pic.twitter.com/HR8LRdZob9|false|907317592272105473|/NBCNews/status/907317592272105473||||
NBCNews|2017-09-08 05:08:46|296|443|JUST IN:  Irma  has been downgraded to a "dangerous" Category 4 hurricane, according to the National Hurricane Center|false|906081870659690496|/NBCNews/status/906081870659690496||||
